Time (microseconds),i_alpha,i_beta
33800.00,4806.3779296875,-1377.94445800781
33900.00,4792.3583984375,-1425.9384765625
34000.00,4777.85986328125,-1473.78967285156
34100.00,4762.88330078125,-1521.49389648438
34200.00,4747.43017578125,-1569.04602050781
34300.00,4731.5029296875,-1616.44091796875
34400.00,4715.10205078125,-1663.67419433594
34500.00,4698.22998046875,-1710.7412109375
34600.00,4680.8876953125,-1757.63745117188
34700.00,4663.07763671875,-1804.357421875
34800.00,4644.80126953125,-1850.89721679688
34900.00,4626.060546875,-1897.25183105469
35000.00,4606.85693359375,-1943.41674804688
35100.00,4587.19287109375,-1989.38720703125
35200.00,4567.06982421875,-2035.15905761719
35300.00,4546.490234375,-2080.72729492188
35400.00,4525.4560546875,-2126.087890625
35500.00,4503.96923828125,-2171.2353515625
35600.00,4482.03173828125,-2216.16552734375
35700.00,4459.646484375,-2260.87426757813
35800.00,4436.8154296875,-2305.35668945313
35900.00,4413.5400390625,-2349.60913085938
36000.00,4389.82373046875,-2393.62622070313
36100.00,4365.66845703125,-2437.40380859375
36200.00,4341.07666015625,-2480.93798828125
36300.00,4316.05078125,-2524.22387695313
36400.00,4290.59326171875,-2567.25756835938
36500.00,4264.70654296875,-2610.03393554688
36600.00,4238.3935546875,-2652.55004882813
36700.00,4211.65625,-2694.80102539063
36800.00,4184.498046875,-2736.78173828125
36900.00,4156.921875,-2778.48901367188
37000.00,4128.9296875,-2819.91845703125
37100.00,4100.5244140625,-2861.06591796875
37200.00,4071.70922851563,-2901.92749023438
37300.00,4042.48681640625,-2942.4990234375
37400.00,4012.86010742188,-2982.77587890625
37500.00,3982.83227539063,-3022.75512695313
37600.00,3952.40625,-3062.43090820313
37700.00,3921.58471679688,-3101.80126953125
37800.00,3890.37133789063,-3140.86157226563
37900.00,3858.7685546875,-3179.60766601563
38000.00,3826.7802734375,-3218.03540039063
38100.00,3794.4091796875,-3256.1416015625
38200.00,3761.65844726563,-3293.92260742188
38300.00,3728.53173828125,-3331.37377929688
38400.00,3695.0322265625,-3368.49145507813
38500.00,3661.1630859375,-3405.27319335938
38600.00,3626.92797851563,-3441.71411132813
38700.00,3592.330078125,-3477.81030273438
38800.00,3557.373046875,-3513.55908203125
38900.00,3522.06005859375,-3548.95654296875
39000.00,3486.39501953125,-3583.9990234375
39100.00,3450.38134765625,-3618.68334960938
39200.00,3414.02270507813,-3653.00561523438
39300.00,3377.32250976563,-3686.96264648438
39400.00,3340.28466796875,-3720.55078125
39500.00,3302.91284179688,-3753.76684570313
39600.00,3265.21069335938,-3786.607421875
39700.00,3227.18212890625,-3819.0703125
39800.00,3188.83056640625,-3851.150390625
39900.00,3150.16040039063,-3882.845703125
40000.00,3111.17504882813,-3914.15234375
40100.00,3071.87866210938,-3945.06762695313
40200.00,3032.27514648438,-3975.5888671875
40300.00,2992.36840820313,-4005.71240234375
40400.00,2952.16235351563,-4035.43530273438
40500.00,2911.6611328125,-4064.75439453125
40600.00,2870.86865234375,-4093.66723632813
40700.00,2829.7890625,-4122.1708984375
40800.00,2788.4267578125,-4150.26220703125
40900.00,2746.78540039063,-4177.93896484375
41000.00,2704.86938476563,-4205.197265625
41100.00,2662.68286132813,-4232.03466796875
41200.00,2620.23022460938,-4258.44921875
41300.00,2577.51538085938,-4284.4384765625
41400.00,2534.54296875,-4309.9990234375
41500.00,2491.31689453125,-4335.12841796875
41600.00,2447.841796875,-4359.82421875
41700.00,2404.1220703125,-4384.08447265625
41800.00,2360.16186523438,-4407.90576171875
41900.00,2315.96533203125,-4431.287109375
42000.00,2271.53759765625,-4454.22412109375
42100.00,2226.88256835938,-4476.71630859375
42200.00,2182.0048828125,-4498.76123046875
42300.00,2136.90893554688,-4520.35595703125
42400.00,2091.59936523438,-4541.49853515625
42500.00,2046.08056640625,-4562.1875
42600.00,2000.35717773438,-4582.41943359375
42700.00,1954.43371582031,-4602.19384765625
42800.00,1908.31481933594,-4621.50732421875
42900.00,1862.00524902344,-4640.359375
43000.00,1815.50927734375,-4658.7470703125
43100.00,1768.83190917969,-4676.6689453125
43200.00,1721.9775390625,-4694.123046875
43300.00,1674.95104980469,-4711.107421875
43400.00,1627.75708007813,-4727.6220703125
43500.00,1580.40026855469,-4743.66259765625
43600.00,1532.88549804688,-4759.22900390625
43700.00,1485.21740722656,-4774.31982421875
43800.00,1437.40075683594,-4788.93310546875
43900.00,1389.4404296875,-4803.06689453125
44000.00,1341.34118652344,-4816.7216796875
44100.00,1293.10766601563,-4829.8935546875
44200.00,1244.74499511719,-4842.5830078125
44300.00,1196.2578125,-4854.78759765625
44400.00,1147.65087890625,-4866.5078125
44500.00,1098.92932128906,-4877.740234375
44600.00,1050.09777832031,-4888.486328125
44700.00,1001.16131591797,-4898.74267578125
44800.00,952.124694824219,-4908.50830078125
44900.00,902.992858886719,-4917.7841796875
45000.00,853.770751953125,-4926.56884765625
45100.00,804.463256835938,-4934.859375
45200.00,755.075317382813,-4942.6572265625
